Title: VI719805148469395457
Video ID: VI719805148469395457
Source: Memories.ai Sequoia Dogfood
Create Time (epoch ms): 1781074120900
Fetched: 2026-07-11
Transcript lines: 5271

[00:00:00] 这种人他就会对这颗银铁铁铁比较均衡更高
[00:00:05] 所以我让他去看一个使用习惯
[00:00:07] 但后面那种使用习惯就让人焦虑
[00:00:10] 不应该有这样的东西
[00:00:12] 就像你笼下让他订个定时任务
[00:00:14] 现在他不稳定
[00:00:15] 那定时任务他老是没有执行
[00:00:17] 那你就像神经病一样每天再去检查
[00:00:19] 让他去测试让他去什么
[00:00:21] 但其实任务需要真的是按照那个时间自动去设置完成
[00:00:25] 或者那个时间自动去通过
[00:00:27] 如果他没有去通过
[00:00:28] 我们要五分钟之后还该有一个运行室
[00:00:30] 或者什么的
[00:00:32] 我理解他其实不应该使用习惯
[00:00:34] 他这个就反而让人出现了不必要的焦虑
[00:00:42] 这个为什么当时这个社会设置业会有这么多东西
[00:00:47] 是因为当时经常会出现公共问题
[00:00:50] 就是我们自己在测试的时候
[00:00:52] 就觉得非常需要就是非常便捷的一个界面
[00:00:55] 去了解他刚才这个测试的事
[00:00:57] 我觉得如果是一大个业务
[00:00:59] 和正常的务实
[00:01:00] 这两个一大个业务
[00:01:02] 一大个业务
[00:01:03] 我觉得可能比较像一大个业务
[00:01:05] 就设置比较全
[00:01:06] 这种状态查探的能力比较多
[00:01:09] 当然如果说设备其实能够做到很稳定的话
[00:01:12] 其实根本也不需要这么稳定
[00:01:14] 对对对
[00:01:15] 就比如调那个输出声音
[00:01:17] 调这些呼吸灯这些东西
[00:01:19] 我觉得
[00:01:20] 他不会的
[00:01:21] 他可能高兴
[00:01:22] 或者这些功能
[00:01:23] 你留他在马上开到不就行了
[00:01:26] 增加硬件的复杂度和增加用户型的复杂度
[00:01:30] 那就呼吸灯
[00:01:34] 你就但凡你就放两种情况
[00:01:36] 就是我可能需要与一些强体式或弱体式
[00:01:40] 肯定不是一个平滑的条件
[00:01:42] 肯定到底是15比特
[00:01:46] 或者就是到底是15的值
[00:01:50] 还是35的值
[00:01:51] 还是65的值
[00:01:52] 这还好吧
[00:01:53] 这都应该世界上看
[00:01:58] 我觉得硬件还是要做到慢慢无干的
[00:02:07] 就是网络可能
[00:02:09] 就看我们的定义
[00:02:11] 肯定是希望能
[00:02:13] 就是无干
[00:02:14] 明天再上和什么
[00:02:16] 他就是无干的
[00:02:18] 你的同步习惯和你的环境
[00:02:20] 我们环境
[00:02:21] 他就应该是天自动的
[00:02:23] 而且现在你在Wi-Fi或者在你的Wi-Fi的情况下
[00:02:26] 应该是不需要再留两种
[00:02:28] 其实你有Wi-Fi的情况下面
[00:02:30] 如果他已经记住Wi-Fi了
[00:02:32] 其实不需要手机的
[00:02:33] 对
[00:02:34] 他可以自动上传
[00:02:35] 对
[00:02:36] 然后其他情况下
[00:02:37] 比如在一些情况下
[00:02:38] 需要用户辅助局
[00:02:40] 首先玩牙和屏幕都保持持续连接
[00:02:43] 对吧
[00:02:45] 蓝牙和屏幕
[00:02:46] 你就看手机刷不刷后台
[00:02:48] 你这个程序是蓝牙可以一直跟屏幕保持连接
[00:02:52] 蓝牙可以一直跟屏幕保持连接
[00:02:53] 这是可以的
[00:02:54] 对啊
[00:02:55] 就不开APP也能做到蓝牙和手机
