Title: Memories.ai Internal Meeting (Mandarin) — Visual Memory Layer, Physical AI, Firmware
Video ID: VI721962887333281793
Date: 2026-06-16
Source: Memories.ai / Sequoia Dogfood Recording
Tags: visual_memory_layer, physical_ai, firmware_update, coding_development
URL: https://mavi-resource.openinterx.com/VI721962887333281793.mp4
Status: Sequoia Dogfood — Personal/Internal Recording
---

[00:00:04] 你帮我这个刷个机吧
[00:00:06] 刷个机
[00:00:08] 你好 你们刷个
[00:00:11] 刷最新版本了
[00:00:13] 不是 旧的屏
[00:11:29] 应该是初级不要吧?
[00:11:31] 不用,非凡
[00:12:52] 周四前跟他们所有东西都定下来
[00:12:55] 周四之后他们要测,我们也不会给他们测
[00:13:01] 就是你自己要定下来,周四前我们所有东西都定下来
[00:13:05] 这个测试机它定出来了,三个尺
[00:13:10] 到时候我们看一下这个上面多少
[00:13:13] 它主要是之前它给的那个数据机动的都是几百G
[00:13:17] 我硬盘都快下落了
[00:13:19] 这种就是要把指标定下来
[00:13:22] 它要把指标定下来
[00:13:25] 基本上定下来呢
[00:13:27] 定下来就会优化了尺,对吧?
[00:13:29] 那现在测了测试有什么用啊?
[00:13:31] 也太优化了
[00:13:33] 对,因为MODO的话主要在那边化学图屏上优化完了
[00:13:38] 我们那边几乎都是一些流程上的优化
[00:13:41] MODO只要转完了,就先给我推了
[00:13:43] 然后后面都是看看,要尝试一下
[00:13:46] 那个FP3上能不能转到英特尔8应该4.7
[00:13:49] 然后它没有更多
[00:13:51] 然后 MODO很
[00:13:53] 你觉得这些东西联想那个人能做吗?
[00:13:57] 不知道,就看他口袋词用的好不好
[00:14:03] 有很多客户我聊下来发现他不会用口袋词
[00:14:07] 以至于就是,就相当于我直接给他敲
[00:14:11] 那我们之前跟高通做了这么久
[00:14:14] 你觉得那些,包括做三星的那些项目
[00:14:17] 这些经验累积下来
[00:14:19] 对我们现在这些东西有帮忙吗?
[00:14:21] 对啊,我们靠我们的手机上的套
[00:14:24] 我们这次做完我们就可以升级了
[00:14:27] 嗯,就很熟的
[00:14:31] 嗯,后面后面看吧
[00:14:33] 你不是说要做 SDK吗?
[00:14:35] 对
[00:14:36] 后面我们再看
[00:14:37] 其实如果说没这个错误的时候
[00:14:40] 我还在想怎么做加密呢
[00:14:42] 嗯
[00:14:43] 就怎么设计可以的
[00:14:45] 设计那个过期
[00:14:47] 嗯,你可以研究一下Next AI的东西
[00:14:50] Next AI最近被高通说过了
[00:14:54] 他不收购他也不收錢了呀
[00:14:56] 哦
[00:14:57] 因为高通不会想把我们也买了吧
[00:14:59] 哈哈哈哈
[00:15:01] 那可能他主要问题是
[00:15:03] 方舟Local出来了
[00:15:04] 方舟Local出来之后
[00:15:05] 你这个产业其实也不大优势吧
[00:15:08] 嗯
[00:15:09] 你看方舟Local
[00:15:12] 嗯
[00:15:13] 他其实他还有Intel的
[00:15:15] 还有AMP的
[00:15:16] 还有英亚的
[00:15:17] 嗯
[00:15:18] 方舟Local明显是比Next AI一个高一个量级的公司
[00:15:22] 嗯
[00:15:23] 然后他如果说Next AI现在再不买
[00:15:27] 那哎呀
[00:15:28] 那他就不値錢了
[00:15:30] 就就还不如马洛斯你知道吧
[00:15:32] 对的
[00:15:33] 然后他们现在这个设计尺
[00:15:35] 就是相当
[00:15:36] 那就是那就是我们就可以去问高通催模型了呀
[00:15:39] 你那模型它
[00:15:40] 它那个反正其实这样本质上
[00:15:42] 它是走的OpenCL的魔改
[00:15:44] 嗯
[00:15:45] 他们的模型之前AP不太値得
[00:15:48] 都是走的OpenCL的魔改
[00:15:49] 哦
[00:15:50] 他们能
[00:15:51] 有些模型他们能做尺
[00:15:52] 嗯
[00:15:53] 但有些模型他们做不了
[00:15:55] 嗯
[00:15:56] 比如说那个JMAS的这次
[00:15:58] 这次JMAS的模型都是
[00:16:00] 嗯
[00:16:01] 包括那个YKT
[00:16:02] 嗯
[00:16:03] YKT放的
[00:16:04] 嗯
[00:16:05] 它内部有所有的权重
[00:16:06] 嗯
[00:16:07] 你调的时候
[00:16:08] 你比外面做的
[00:16:09] 嗯
[00:16:10] 外面做的要好
[00:16:13] 嗯
[00:16:14] 大家愿意放
[00:16:15] 嗯
[00:16:16] 然后高通的
[00:16:17] 高通的工具工具量
[00:16:18] 我们大家也知道
[00:16:19] 他还
[00:16:20] 他还不支持就是一等
[00:16:21] 嗯
[00:16:22] 等到他什么时候
[00:16:23] 就是
[00:16:24] 就是就是
[00:16:25] 我觉得有可能等不到他支持
[00:16:27] 嗯
[00:16:28] 就来他他们可能自己搞出一套
[00:16:30] 嗯
[00:16:31] 能够他们不是在推那个pixel的那个
[00:16:34] 嗯
[00:16:35] 那个只要他搞出来
[00:16:37] 我觉得
[00:16:39] 可以
[00:16:40] 谷歌对吧
[00:16:41] pixel
[00:16:42] 啊
[00:16:43] 手机
[00:16:44] 啊
[00:16:45] 那个我只是看到他们有支持
[00:16:46] 但是毕竟亲儿子
[00:16:48] 是的
[00:16:49] 我觉得
[00:16:50] 而且他们能搞搞一台那个
[00:16:51] 搞一台什么
[00:16:52] pixel个人
[00:16:53] 可以啊
[00:16:54] 然后买了
[00:16:58] 对啊
[00:17:00] 让我看一下
[00:17:01] 嗯
[00:18:46] 啊
[00:18:47] 好了
[00:18:48] 好了
[00:18:49] 够吧
[00:21:39] 但是多多按多少然后然后按按什么是录音
[00:21:43] 按两下输入一个
[00:21:45] 其实你关上播片按两下就是
[00:21:48] 拍拍就能高清啊
[00:25:06] 片管理有问题管理有问题
[00:25:10] 有好多片
[00:25:12] 但我如果只要这个
[00:25:14] 放掉也是没有放掉
[00:25:16] 三六你要进去解网的呀
[00:30:11] The thing we believe that almost no one else believes is that visual memory is its own infrastructure category.
[00:38:55] Not a feature of financial models, not a feature of vertical applications, it's its own layer.
[00:39:00] The reason that matters is that every form of physical device starts with camera, wearables, robotics, smart home, autonomous agents.
[00:42:13] I'm a Cambridge PhD and X-Metal Research Scientist. We founded Memrise AI in early 2005 and have since raised over $15 million from top Silicon Valley VCs. What we are building is the visual memory layer for physical AI.
[00:43:50] We run on the customer's existing camera fleet. We start all on cloud, and we can either host the visual memories for them or stream just embed it directly to customer's own environment.
[00:44:03] We've already optimized our stack for NVIDIA, Qualcomm, AMD, and etc. So we can deploy on whatever edge platform the customer prefers.
[00:44:17] We are the infrastructure layer between the cameras and the agents. Think of us as the picks and shovels for physical AI.
[00:44:50] We're already shipping with NVIDIA, Qualcomm, Lenovo, Samsung, Comcast, and all tier one customers across security, manufacturing, retail, and consumer hardware.
[00:45:07] The market is converging across three adjacent markets: enterprise video intelligence ($25-35B by 2030), edge AI software and IoT ($15-25B), consumer ambient AI and AI wearables ($15-25B). Total $50-80B opportunity by end of decade.
[00:46:04] Every enterprise with a meaningful camera fleet has the same problem: a write-only video archive and petabytes of footage that no one can actually use.
[00:50:28] We sit underneath and power any application built on top, on any camera. The company that owns the visual memory layer captures value that the market assumes will go either to foundation labs or vertical app vendors.
